Name,City,Address,Bedrooms,Price,Rent,Area,Per_Sqft_Price,Furnishing,Type
"2 BHK Flat for Sale in Dankuni, Kolkata",Kolkata,Dankuni,2,1400000,,510.0,2745.0,Unfurnished,buy
3 BHK Flat for Sale in Kolkata,Kolkata,Dream Palazzo,3,5800000,,1000.0,5800.0,Semi-Furnished,buy
"4 BHK Flat for Sale in Patuli, Kolkata",Kolkata,Patuli,4,7500000,,1550.0,4839.0,Furnished,buy
"2 BHK Flat for Sale in Chandannagar, Hooghly-Chinsurah, Kolkata",Kolkata,Chandannagar,2,2500000,,570.0,4386.0,Semi-Furnished,buy
"4 BHK Flat for Sale in PS Navyom, PS Navyom, New Alipore, Kolkata",Kolkata,New Alipore,4,42000000,,2800.0,15000.0,Semi-Furnished,buy
"2 BHK Flat for Sale in Golpark, Gariahat Road, Kolkata",Kolkata,Golpark,2,10500000,,960.0,10938.0,Semi-Furnished,buy
"3 BHK Flat for Sale in Andul, Kolkata",Kolkata,Andul,3,4240000,,968.0,4375.0,Unfurnished,buy
"4 BHK Flat for Sale in Urbana NRI Complex, Urbana NRI Complex, East Kolkata Township, Kolkata",Kolkata,East Kolkata Township,4,66000000,,2266.0,29126.0,Unfurnished,buy
"2 BHK Flat for Sale in Merlin Lakescape, Merlin Lakescape, New Town, Kolkata",Kolkata,New Town,2,7600000,,677.0,11226.0,Unfurnished,buy
"4 BHK Flat for Sale in Ballygunge Place, Ballygunge, Kolkata",Kolkata,Ballygunge Place,4,28600000,,2300.0,12456.0,Unfurnished,buy
"2 BHK Flat for Sale in Uniworld City, Uniworld City, Action Area 3, Kolkata",Kolkata,Action Area 3,2,7500000,,1100.0,6818.0,Unfurnished,buy
"3 BHK Flat for Sale in Sarsuna, Kolkata",Kolkata,Sarsuna,3,4500000,,831.0,5415.0,Unfurnished,buy
"3 BHK Flat for Sale in DLF New Town Heights, DLF New Town Heights, Rajarhat, Kolkata",Kolkata,Rajarhat,3,17000000,,1477.0,11510.0,Unfurnished,buy
"3 BHK Flat for Sale in Rosedale Garden, Rosedale Garden, New Town, Kolkata",Kolkata,New Town,3,24000000,,2231.0,10758.0,Semi-Furnished,buy
"3 BHK Flat for Sale in Ambey Gateway, Ambey Gateway, Rajarhat, Kolkata",Kolkata,Rajarhat,3,19000000,,1000.0,19000.0,Unfurnished,buy
"3 BHK Flat for Sale in Anandapur, Kolkata",Kolkata,Anandapur,3,9590000,,827.0,11596.0,Unfurnished,buy
"2 BHK Flat for Sale in Madurdaha, Hussainpur, Kolkata",Kolkata,Madurdaha,2,5300000,,1140.0,4649.0,Unfurnished,buy
"3 BHK Flat for Sale in Eden Solaris City Serampore, Eden Solaris City Serampore, Serampore, Kolkata",Kolkata,Serampore,3,3500000,,945.0,3704.0,Unfurnished,buy
"3 BHK Flat for Sale in Sweet Hut Suvechcha Apartment, Sweet Hut Suvechcha Apartment, Rajarhat, Kolkata",Kolkata,Rajarhat,3,4740000,,846.0,5605.0,Unfurnished,buy
