property_price_lakhs,chosen_tax_regime,monthly_emi,effective_monthly_emi,final_buying_wealth_crore,final_renting_wealth_crore,decision
85.0,DYNAMIC,53363.0,53363.0,2.84,3.09,RENT
45.0,DYNAMIC,30134.0,30134.0,1.5,2.09,RENT
40.0,DYNAMIC,26786.0,26786.0,1.34,2.29,RENT
82.0,DYNAMIC,51479.0,51479.0,2.74,3.93,RENT
65.0,DYNAMIC,43527.0,43527.0,2.17,3.39,RENT
32.0,DYNAMIC,21429.0,21429.0,1.07,1.71,RENT
150.0,DYNAMIC,54667.0,54667.0,5.01,5.74,RENT
52.0,DYNAMIC,34822.0,34822.0,1.74,2.69,RENT
35.0,DYNAMIC,23438.0,23438.0,1.17,1.27,RENT
36.0,DYNAMIC,24107.0,24107.0,1.2,1.53,RENT
75.0,DYNAMIC,50224.0,50224.0,2.5,4.09,RENT
42.0,DYNAMIC,28125.0,28125.0,1.4,1.7,RENT
35.0,DYNAMIC,23438.0,23438.0,1.17,1.82,RENT
65.0,DYNAMIC,43527.0,43527.0,2.17,3.09,RENT
75.0,DYNAMIC,50224.0,50224.0,2.5,3.41,RENT
29.3,DYNAMIC,22073.0,22073.0,0.98,0.2,BUY
77.0,DYNAMIC,48340.0,48340.0,2.57,4.69,RENT
141.0,DYNAMIC,54667.0,54667.0,4.71,3.82,BUY
37.0,DYNAMIC,24777.0,24777.0,1.24,2.06,RENT
13.0,DYNAMIC,9794.0,9794.0,0.43,0.59,RENT
58.0,DYNAMIC,38840.0,38840.0,1.94,3.03,RENT
39.0,DYNAMIC,26116.0,26116.0,1.3,1.96,RENT
7.0,DYNAMIC,5273.0,5273.0,0.23,0.24,RENT
550.0,DYNAMIC,54667.0,54667.0,18.37,9.25,BUY
52.0,DYNAMIC,34822.0,34822.0,1.74,2.52,RENT
30.0,DYNAMIC,22601.0,22601.0,1.0,1.36,RENT
118.0,DYNAMIC,54667.0,54667.0,3.94,5.96,RENT
55.0,DYNAMIC,36831.0,36831.0,1.84,2.81,RENT
57.0,DYNAMIC,38170.0,38170.0,1.9,3.04,RENT
28.0,DYNAMIC,21094.0,21094.0,0.94,1.7,RENT
34.0,DYNAMIC,22768.0,22768.0,1.14,1.44,RENT
200.0,DYNAMIC,54667.0,54667.0,6.68,3.36,BUY
34.0,DYNAMIC,22768.0,22768.0,1.14,1.56,RENT
240.0,DYNAMIC,54667.0,54667.0,8.02,4.54,BUY
36.0,DYNAMIC,24107.0,24107.0,1.2,1.65,RENT
27.5,DYNAMIC,20717.0,20717.0,0.92,1.58,RENT
120.0,DYNAMIC,54667.0,54667.0,4.01,3.61,BUY
26.0,DYNAMIC,19587.0,19587.0,0.87,1.36,RENT
25.0,DYNAMIC,18834.0,18834.0,0.83,1.33,RENT
19.8,DYNAMIC,14916.0,14916.0,0.66,0.84,RENT
39.0,DYNAMIC,26116.0,26116.0,1.3,2.09,RENT
25.5,DYNAMIC,19211.0,19211.0,0.85,0.83,BUY
115.0,DYNAMIC,54667.0,54667.0,3.84,4.61,RENT
27.0,DYNAMIC,20341.0,20341.0,0.9,0.18,BUY
47.0,DYNAMIC,31474.0,31474.0,1.57,1.66,RENT
36.0,DYNAMIC,24107.0,24107.0,1.2,1.76,RENT
30.0,DYNAMIC,22601.0,22601.0,1.0,1.42,RENT
47.0,DYNAMIC,31474.0,31474.0,1.57,2.04,RENT
365.0,DYNAMIC,54667.0,54667.0,12.19,6.14,BUY
51.0,DYNAMIC,34152.0,34152.0,1.7,2.82,RENT
60.0,DYNAMIC,40179.0,40179.0,2.0,3.58,RENT
34.0,DYNAMIC,22768.0,22768.0,1.14,1.47,RENT
